Site,Type,Habitat,Year,Call vulg,Eric cine,Eric tetr,Vacc myrt,Hede heli,Rubu frut,Gali saxa,Nart ossi,Poly serp,Pote erec,R. acetosa,R. acetose,Succ prat ,Trif repe,Vero offi,Viol palu,Digi purp,Oxal acet,Cirs palu,Junc bulb,Junc effu,Junc squa,Luzu mult,Care bine,Care echi,Care nigr,Care puli,Care pcea,Eleo mult,Erio angu,Erio vagi,Tric cesp,Agro cani,Agro capi,Agro stol,Anth odor,Dant decu,Desc flex,Fest rubr,Fest vivi,Moli caer,Nard stri,Holc lana,Blec spic,Dryo aem,Dryo dila,Pter aqui,Athy f-f,Aula palu,Breu chry,Camp flex,Dicr scop,Hylo sple,Hypn cupr,Hypn jutl,Plag undu,Pleu schr,Poly comm,Raco lanu,Rhyt lore,Rhyt squa,Scle puru,Spha capi,Spha cusp,Spha dent,Spha fall,Spha palu,Spha papi,Spha squa,Spha subn,Spha tene,Spha fimb,Spha quin,Spha inun,Thui tama,Kind prae,Mniu horn,Dicr maju,Rhyt triq,Caly muel,Dipl albi,Odon spha,Pleu purp,Scap grac,Loph bide,Scap nemo,Clad port,Clad unci ,Poly juni,Lysi nemo,Stel gram,Stel medi,Stel alsi,Frul tama,Pell epip,Poly form,Eurh stri,Epilobium sp.,Epil pedu,Care dist,Poly vulg,Ranu acri,Ranu repe,Hypo radi,Gali palu,Atri undu,Cera font,Hook luce,Rume obtu,Plagiom undu,Gera robe,Cyno cris,Euph Sali,Tara offi,Chry oppo,Euph offi,Prun vulg,Plan lanc,Isot myos,Dicr hete,Hyme. Sp,Poly pili,Litter,BareSoil,BareRock,SurfaceWater
WD1T2,Treatment,Broadleaf,2024,0,0,0,0,0,4.96,0.1,0,0,0.99,0.99,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.76,0,0.99,0,0,0,0,0.99,0,14.88,0.1,0.99,2.98,0,0.99,0,0,0,0,0,2.98,0.1,0.99,0,9.92,0,0.99,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,4.96,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0.99,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,6.94,0,0,0
WD1C2,Control,Broadleaf,2024,0,0,0,0,0,1,0,0,0,0.1,4.99,0,0,0,0,0,0,6.98,0,0,14.96,0,0,0,0,0,0,0,0,0,0,0,0,19.94,1,0.1,0,0,0,0,0,0,6.98,1,0.1,4.99,0,1,0,0,0,0,0,1,0,1,0,4.99,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,9.97,2.99,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0.1,0,0,0,0,0,1,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,6.98,4.99,0,0
WD1T3,Treatment,Broadleaf,2024,0,0,0,0,0,0.99,0.99,0,0,2.98,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,14.88,0,0,0,0,0,0,9.92,0,4.96,0.99,0.1,2.98,0,0.99,0,0,0,0,0,0,0,0.1,0,6.94,0,6.94,0.1,0.99,0,0,0,0,0,0,0,0,0,0,0,0,19.84,4.96,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0.99,0.99,0
WD1C3,Control,Broadleaf,2024,0,0,0,0,0,0,0,0,0,0.99,4.96,0,0,0,0,0,0.99,2.98,0,0,2.98,0,0,0,0,0,0,0,0,0,0,0,0,14.88,0,0.1,0,0,0,0,0,0,2.98,2.98,0,0.99,0,0.99,0,0,0,0,0,0.99,0,0.1,0,9.92,0,0.99,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,4.96,0,0.99,0,0,0,0.1,0,0,0,0,0,0,0,0,2.98,0,0,0,0,0.99,0,0,0,0.1,0,0,0,4.96,0,0,4.96,0,0.1,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,14.88,6.94,0,0
WD1T4,Treatment,Broadleaf,2024,0,0.1,0,0,0,6.97,0.1,0,0,2.99,1,0,0,0,0,0,2.99,0,0,0,6.97,0,0,0.1,2.99,0,0,0,0,0,0,0,0,14.93,0,0,0,0,0,0,9.95,0,4.98,0.1,1,4.98,0,2.99,0,0,0,0,0,1,0,0,0,9.95,0,4.98,2.99,0.1,0,0,0,0,0,0,0,0,0,0,0,0,9.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0
WD1C4,Control,Broadleaf,2024,0,0,0,0,0,6.97,0,0,0,2.99,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0.1,4.98,0,0,0,0,0,0,0,0,19.92,0,0,0,0,0,0,2.99,0,9.96,0,1,1,0,1,0,0,0,0,0,1,0,1,0,6.97,0,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,19.92,4.98,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96,1,0,0
WD4MinT1,Treatment,Conifer_Mineral,2024,0,0,0,0,0,0,2.98,0,0,0.99,0.99,0.99,0,2.98,0,0,0.1,4.96,2.98,0,0,0,0.99,0,0,2.98,0,0,0,0,0,0,0,4.96,6.94,6.94,0,0,0,0,0,0,14.88,0.99,0.1,0,0,0.1,0,0,0,0,2.98,0.99,0.99,0,2.98,0.99,0,4.96,0.99,0.1,0,0,0,0,0,0,0,0,0,2.98,0,0,4.96,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2.98,0,0,0,0,0,0.99,2.98,2.98,0.99,0,0.99,0,0.1,0,0,0.1,0,0,0,0.1,0.99,2.98,0,0,0,0,2.98,0,0.99,0
WD4MinC1,Control,Conifer_Mineral,2024,0,0,0,0,0,0,9.91,0,0,0.99,0.99,0,0,0,0.99,0.99,0.1,9.91,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,19.82,0,24.78,0,0,0,0,0,0,0.99,2.97,0.99,0.1,0,0.99,0,0,0,0,0,0,0.1,0.1,0.99,0.99,0,2.97,0.99,0.99,0,0,0,0.1,0,0,0,0,0,0,0,0,4.96,2.97,0.99,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0.99,0,0,0,0,0,0,0.99,0,0,0,0,0,2.97,0,0,0
WD4MinT2,Treatment,Conifer_Mineral,2024,0,0,0,0,0,0,6.88,0,0,2.95,0.1,0,0,0,0,0,0.98,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,9.83,4.92,0,0,0,0,0,0,2.95,0.98,0,2.95,0,0.1,0.1,0,0,0.1,0.98,0,2.95,0.1,0,6.88,0,6.88,0,0.1,0,0,0,6.88,0.98,0,0,0,0,0.98,0,0,6.88,2.95,0.98,0,2.95,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.1,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,0,0,0
WD4MinC2,Control,Conifer_Mineral,2024,0,0,0,0,0,0,6.97,0,0,2.99,0,0,0,0,0,0,1,4.98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.92,0,6.97,0,0,0,0,0,0,6.97,1,0.1,1,0,0.1,0,0,0,0,2.99,0.1,0,0,1,6.97,0,4.98,0,0,0,0,0,2.99,1,0,0,0,0,9.96,0,0,9.96,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
